Date : 2023-12-14 15:52:40
Directory : e:\Embedded\MyLogGit
Total : 210 files,  17969 codes, 533 comments, 4476 blanks, all 22978 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| exampleSite\content\post\2-2-操作系统-进程线程实操                                       |          1 |        356 |          0 |         74 |        430 |
| exampleSite\content\post\2-3-操作系统-FreeRTOS                                     |          1 |         76 |          0 |          8 |         84 |
| exampleSite\content\post\2-4-操作系统-Linux                                        |          1 |        515 |          0 |        192 |        707 |
| exampleSite\content\post\2-5-操作系统-Linux常用命令                                    |          1 |        127 |          0 |         42 |        169 |
| exampleSite\content\post\2-6-操作系统-UCOS3                                        |          1 |        491 |          0 |         91 |        582 |
| exampleSite\content\post\2-7-操作系统-imx6ull                                      |          1 |      1,071 |          0 |        170 |      1,241 |
| exampleSite\content\post\3-0-单片机-杂项                                            |          1 |        329 |          0 |        194 |        523 |
| exampleSite\content\post\3-1-单片机-IO                                            |          1 |         42 |          0 |          3 |         45 |
| exampleSite\content\post\3-2-单片机-通信协议                                          |          1 |        200 |          0 |         17 |        217 |
| exampleSite\content\post\3-3-单片机-配置相关术语                                        |          1 |        261 |          0 |         47 |        308 |
| exampleSite\content\post\3-4-单片机-ARM架构                                         |          1 |        428 |          0 |        221 |        649 |
| exampleSite\content\post\3-5-单片机-LVGL                                          |          1 |        853 |          0 |        281 |      1,134 |
| exampleSite\content\post\3-6-单片机-汇编语言                                          |          1 |         17 |          0 |          7 |         24 |
| exampleSite\content\post\3-7-单片机-蓝桥杯51                                         |          1 |        386 |          0 |         84 |        470 |
| exampleSite\content\post\4-1-网络协议-常见协议                                         |          1 |        254 |          0 |         46 |        300 |
| exampleSite\content\post\4-2-网络协议-MQTT                                         |          1 |         95 |          0 |         59 |        154 |
| exampleSite\content\post\4-3-网络协议-Zigbee                                       |          1 |        233 |          0 |        158 |        391 |
| exampleSite\content\post\4-4-网络协议-TCP&UDP                                      |          1 |        108 |          0 |         28 |        136 |
| exampleSite\content\post\4-5-网络协议-计算机网络                                        |          1 |        244 |          0 |         90 |        334 |
| exampleSite\content\post\5-1-硬件-模拟电路                                           |          1 |         77 |          0 |         27 |        104 |
| exampleSite\content\post\5-2-硬件-数字逻辑                                           |          1 |         67 |          0 |         30 |         97 |
| exampleSite\content\post\5-3-硬件-处理器&架构                                         |          1 |         55 |          0 |         21 |         76 |
| exampleSite\content\post\5-4-硬件-存储                                             |          1 |         86 |          0 |         16 |        102 |
| exampleSite\content\post\5-5-硬件-计算机组成原理                                        |          1 |        227 |          0 |        101 |        328 |
| exampleSite\content\post\6-1-数据结构-理论                                           |          1 |         57 |          0 |         14 |         71 |
| exampleSite\content\post\6-2-数据结构-实践                                           |          1 |        330 |          0 |         61 |        391 |
| exampleSite\content\post\6-3-数据结构-c++容器                                        |          1 |        282 |          0 |        102 |        384 |
| exampleSite\content\post\6-4-数据结构-基础                                           |          1 |        178 |          0 |         78 |        256 |
| exampleSite\content\post\7-1-微信小程序-echarts可视化                                  |          1 |        539 |          1 |         71 |        611 |
| exampleSite\content\post\7-2-微信小程序-生成二维码                                       |          1 |         71 |          0 |         15 |         86 |
| exampleSite\content\post\7-3-微信小程序-云开发                                         |          1 |         70 |          0 |          7 |         77 |
| exampleSite\content\post\8-1-开发工具-Cjson                                        |          1 |        398 |          0 |         83 |        481 |
| exampleSite\content\post\8-2-开发工具-Git                                          |          1 |         71 |          0 |         33 |        104 |
| exampleSite\content\post\8-3-开发工具-Makefile&CMake                               |          1 |        240 |          0 |         58 |        298 |
| exampleSite\content\post\8-4-开发工具-Markdown                                     |          1 |         61 |          0 |         76 |        137 |
| exampleSite\content\post\8-5-开发工具-Mysql                                        |          1 |        333 |          0 |         56 |        389 |
| i18n                                                                           |         24 |      1,221 |          1 |        430 |      1,652 |
| layouts                                                                        |         68 |      1,531 |         31 |        208 |      1,770 |
| layouts (Files)                                                                |          2 |         23 |          0 |          3 |         26 |
| layouts\_default                                                               |          7 |        257 |          0 |         33 |        290 |
| layouts\_default (Files)                                                       |          5 |        218 |          0 |         28 |        246 |
| layouts\_default\_markup                                                       |          2 |         39 |          0 |          5 |         44 |
| layouts\page                                                                   |          2 |         48 |          0 |         11 |         59 |
| layouts\partials                                                               |         51 |      1,126 |         31 |        157 |      1,314 |
| layouts\partials (Files)                                                       |          1 |         25 |          0 |          2 |         27 |
| layouts\partials\article                                                       |         10 |        208 |         12 |         36 |        256 |
| layouts\partials\article (Files)                                               |          1 |          8 |          0 |          3 |         11 |
| layouts\partials\article-list                                                  |          3 |         76 |          0 |          8 |         84 |
| layouts\partials\article\components                                            |          9 |        200 |         12 |         33 |        245 |
| layouts\partials\comments                                                      |         12 |        367 |          0 |         40 |        407 |
| layouts\partials\comments (Files)                                              |          1 |          3 |          0 |          0 |          3 |
| layouts\partials\comments\provider                                             |         11 |        364 |          0 |         40 |        404 |
| layouts\partials\data                                                          |          2 |         30 |         10 |         10 |         50 |
| layouts\partials\footer                                                        |          5 |         41 |          0 |         10 |         51 |
| layouts\partials\footer (Files)                                                |          3 |         23 |          0 |          5 |         28 |
| layouts\partials\footer\components                                             |          2 |         18 |          0 |          5 |         23 |
| layouts\partials\head                                                          |          8 |        111 |          0 |         21 |        132 |
| layouts\partials\head (Files)                                                  |          5 |         58 |          0 |         13 |         71 |
| layouts\partials\head\opengraph                                                |          3 |         53 |          0 |          8 |         61 |
| layouts\partials\head\opengraph (Files)                                        |          1 |          2 |          0 |          0 |          2 |
| layouts\partials\head\opengraph\provider                                       |          2 |         51 |          0 |          8 |         59 |
| layouts\partials\helper                                                        |          3 |         74 |          9 |         14 |         97 |
| layouts\partials\sidebar                                                       |          2 |        105 |          0 |          9 |        114 |
| layouts\partials\widget                                                        |          5 |         89 |          0 |          7 |         96 |
| layouts\shortcodes                                                             |          6 |         77 |          0 |          4 |         81 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                       | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\Embedded\MyLogGit\.devcontainer\Dockerfile                                  | Docker             |         15 |         11 |          6 |         32 |
| e:\Embedded\MyLogGit\.devcontainer\devcontainer.json                           | JSON with Comments |         25 |         15 |          6 |         46 |
| e:\Embedded\MyLogGit\.github\FUNDING.yml                                       | YAML               |          2 |          0 |          1 |          3 |
| e:\Embedded\MyLogGit\.github\ISSUE_TEMPLATE\bug_report.yml                     | YAML               |         75 |          0 |          1 |         76 |
| e:\Embedded\MyLogGit\.github\ISSUE_TEMPLATE\config.yml                         | YAML               |          5 |          0 |          1 |          6 |
| e:\Embedded\MyLogGit\README.md                                                 | Markdown           |         13 |          0 |          1 |         14 |
| e:\Embedded\MyLogGit\archetypes\categories.md                                  | Markdown           |          7 |          0 |          0 |          7 |
| e:\Embedded\MyLogGit\archetypes\default.md                                     | Markdown           |         11 |          0 |          0 |         11 |
| e:\Embedded\MyLogGit\archetypes\tags.md                                        | Markdown           |          5 |          0 |          0 |          5 |
| e:\Embedded\MyLogGit\assets\icons\archives.svg                                 | XML                |          6 |          0 |          3 |          9 |
| e:\Embedded\MyLogGit\assets\icons\arrow-back.svg                               | XML                |          4 |          0 |          3 |          7 |
| e:\Embedded\MyLogGit\assets\icons\back.svg                                     | XML                |          4 |          0 |          3 |          7 |
| e:\Embedded\MyLogGit\assets\icons\brand-github.svg                             | XML                |          4 |          0 |          3 |          7 |
| e:\Embedded\MyLogGit\assets\icons\brand-twitter.svg                            | XML                |          4 |          0 |          3 |          7 |
| e:\Embedded\MyLogGit\assets\icons\categories.svg                               | XML                |          7 |          0 |          3 |         10 |
| e:\Embedded\MyLogGit\assets\icons\clock.svg                                    | XML                |          5 |          0 |          3 |          8 |
| e:\Embedded\MyLogGit\assets\icons\copyright.svg                                | XML                |          5 |          0 |          3 |          8 |
| e:\Embedded\MyLogGit\assets\icons\date.svg                                     | XML                |          9 |          0 |          0 |          9 |
| e:\Embedded\MyLogGit\assets\icons\hash.svg                                     | XML                |          7 |          0 |          3 |         10 |
| e:\Embedded\MyLogGit\assets\icons\home.svg                                     | XML                |          6 |          0 |          3 |          9 |
| e:\Embedded\MyLogGit\assets\icons\infinity.svg                                 | XML                |          4 |          0 |          3 |          7 |
| e:\Embedded\MyLogGit\assets\icons\language.svg                                 | XML                |          8 |          0 |          3 |         11 |
| e:\Embedded\MyLogGit\assets\icons\link.svg                                     | XML                |          5 |          0 |          3 |          8 |
| e:\Embedded\MyLogGit\assets\icons\messages.svg                                 | XML                |          5 |          0 |          3 |          8 |
| e:\Embedded\MyLogGit\assets\icons\rss.svg                                      | XML                |          6 |          0 |          3 |          9 |
| e:\Embedded\MyLogGit\assets\icons\search.svg                                   | XML                |          5 |          0 |          3 |          8 |
| e:\Embedded\MyLogGit\assets\icons\tag.svg                                      | XML                |          5 |          0 |          3 |          8 |
| e:\Embedded\MyLogGit\assets\icons\toggle-left.svg                              | XML                |          5 |          0 |          3 |          8 |
| e:\Embedded\MyLogGit\assets\icons\toggle-right.svg                             | XML                |          5 |          0 |          3 |          8 |
| e:\Embedded\MyLogGit\assets\icons\user.svg                                     | XML                |          5 |          0 |          3 |          8 |
| e:\Embedded\MyLogGit\assets\scss\breakpoints.scss                              | SCSS               |         16 |          0 |          2 |         18 |
| e:\Embedded\MyLogGit\assets\scss\custom.scss                                   | SCSS               |          0 |          1 |          0 |          1 |
| e:\Embedded\MyLogGit\assets\scss\external\normalize.scss                       | SCSS               |        146 |        129 |         74 |        349 |
| e:\Embedded\MyLogGit\assets\scss\general.scss                                  | SCSS               |         26 |          0 |          6 |         32 |
| e:\Embedded\MyLogGit\assets\scss\grid.scss                                     | SCSS               |         80 |          1 |         18 |         99 |
| e:\Embedded\MyLogGit\assets\scss\partials\article.scss                         | SCSS               |        223 |          3 |         42 |        268 |
| e:\Embedded\MyLogGit\assets\scss\partials\base.scss                            | SCSS               |         28 |          4 |          6 |         38 |
| e:\Embedded\MyLogGit\assets\scss\partials\comments\disqusjs.scss               | SCSS               |        336 |          0 |         59 |        395 |
| e:\Embedded\MyLogGit\assets\scss\partials\footer.scss                          | SCSS               |         26 |          0 |          5 |         31 |
| e:\Embedded\MyLogGit\assets\scss\partials\highlight\dark.scss                  | SCSS               |        216 |         86 |         82 |        384 |
| e:\Embedded\MyLogGit\assets\scss\partials\highlight\light.scss                 | SCSS               |        253 |         86 |         71 |        410 |
| e:\Embedded\MyLogGit\assets\scss\partials\layout\404.scss                      | SCSS               |          6 |          0 |          1 |          7 |
| e:\Embedded\MyLogGit\assets\scss\partials\layout\article.scss                  | SCSS               |        352 |          4 |         60 |        416 |
| e:\Embedded\MyLogGit\assets\scss\partials\layout\list.scss                     | SCSS               |         60 |          0 |         12 |         72 |
| e:\Embedded\MyLogGit\assets\scss\partials\layout\search.scss                   | SCSS               |         67 |          0 |         15 |         82 |
| e:\Embedded\MyLogGit\assets\scss\partials\menu.scss                            | SCSS               |        192 |          8 |         28 |        228 |
| e:\Embedded\MyLogGit\assets\scss\partials\pagination.scss                      | SCSS               |         18 |          0 |          4 |         22 |
| e:\Embedded\MyLogGit\assets\scss\partials\sidebar.scss                         | SCSS               |        166 |          0 |         33 |        199 |
| e:\Embedded\MyLogGit\assets\scss\partials\widgets.scss                         | SCSS               |         56 |          2 |         10 |         68 |
| e:\Embedded\MyLogGit\assets\scss\style.scss                                    | SCSS               |         17 |          7 |          5 |         29 |
| e:\Embedded\MyLogGit\assets\scss\variables.scss                                | SCSS               |        111 |         19 |         36 |        166 |
| e:\Embedded\MyLogGit\assets\ts\color.ts                                        | TypeScript         |         48 |          7 |          8 |         63 |
| e:\Embedded\MyLogGit\assets\ts\colorScheme.ts                                  | TypeScript         |         68 |          2 |         19 |         89 |
| e:\Embedded\MyLogGit\assets\ts\createElement.ts                                | TypeScript         |         26 |          5 |          3 |         34 |
| e:\Embedded\MyLogGit\assets\ts\gallery.ts                                      | TypeScript         |        133 |         18 |         35 |        186 |
| e:\Embedded\MyLogGit\assets\ts\main.ts                                         | TypeScript         |         79 |         16 |         17 |        112 |
| e:\Embedded\MyLogGit\assets\ts\menu.ts                                         | TypeScript         |         70 |          8 |          5 |         83 |
| e:\Embedded\MyLogGit\assets\ts\scrollspy.ts                                    | TypeScript         |         95 |         12 |         24 |        131 |
| e:\Embedded\MyLogGit\assets\ts\search.tsx                                      | TypeScript JSX     |        242 |         23 |         60 |        325 |
| e:\Embedded\MyLogGit\assets\ts\smoothAnchors.ts                                | TypeScript         |         17 |         11 |          6 |         34 |
| e:\Embedded\MyLogGit\config.yaml                                               | YAML               |        114 |          5 |         23 |        142 |
| e:\Embedded\MyLogGit\data\external.yaml                                        | YAML               |         36 |          0 |          9 |         45 |
| e:\Embedded\MyLogGit\debug.sh                                                  | Shell Script       |          1 |          0 |          0 |          1 |
| e:\Embedded\MyLogGit\exampleSite\README.md                                     | Markdown           |          1 |          0 |          0 |          1 |
| e:\Embedded\MyLogGit\exampleSite\config.yaml                                   | YAML               |        186 |         17 |         35 |        238 |
| e:\Embedded\MyLogGit\exampleSite\content\_index.md                             | Markdown           |          8 |          0 |          0 |          8 |
| e:\Embedded\MyLogGit\exampleSite\content\_index.zh-cn.md                       | Markdown           |          8 |          0 |          0 |          8 |
| e:\Embedded\MyLogGit\exampleSite\content\page\about\index.md                   | Markdown           |         22 |          0 |          5 |         27 |
| e:\Embedded\MyLogGit\exampleSite\content\page\about\index.zh-cn.md             | Markdown           |          8 |          0 |          1 |          9 |
| e:\Embedded\MyLogGit\exampleSite\content\page\archives\index.md                | Markdown           |         11 |          0 |          1 |         12 |
| e:\Embedded\MyLogGit\exampleSite\content\page\links\index.md                   | Markdown           |         32 |          0 |          5 |         37 |
| e:\Embedded\MyLogGit\exampleSite\content\page\search\index.md                  | Markdown           |         13 |          0 |          0 |         13 |
| e:\Embedded\MyLogGit\exampleSite\content\post\0-1-嵌软笔试面试\index.md              | Markdown           |        245 |          0 |         44 |        289 |
| e:\Embedded\MyLogGit\exampleSite\content\post\0-2-嵌软笔试面试-经典\index.md           | Markdown           |        524 |          0 |         96 |        620 |
| e:\Embedded\MyLogGit\exampleSite\content\post\1-0-C语言-杂项\index.md              | Markdown           |         13 |          0 |          0 |         13 |
| e:\Embedded\MyLogGit\exampleSite\content\post\1-1-C语言-内存\index.md              | Markdown           |        141 |          0 |         18 |        159 |
| e:\Embedded\MyLogGit\exampleSite\content\post\1-2-C语言-指针&数组\index.md           | Markdown           |        406 |          0 |         26 |        432 |
| e:\Embedded\MyLogGit\exampleSite\content\post\1-3-C语言-预处理\index.md             | Markdown           |        144 |          0 |         18 |        162 |
| e:\Embedded\MyLogGit\exampleSite\content\post\1-4-C语言-关键字\index.md             | Markdown           |        243 |          0 |         18 |        261 |
| e:\Embedded\MyLogGit\exampleSite\content\post\2-0-操作系统-杂项\index.md             | Markdown           |        147 |          0 |         17 |        164 |
| e:\Embedded\MyLogGit\exampleSite\content\post\2-1-操作系统-进程&线程\index.md          | Markdown           |        239 |          0 |         37 |        276 |
| e:\Embedded\MyLogGit\exampleSite\content\post\2-2-操作系统-进程线程实操\index.md         | Markdown           |        356 |          0 |         74 |        430 |
| e:\Embedded\MyLogGit\exampleSite\content\post\2-3-操作系统-FreeRTOS\index.md       | Markdown           |         76 |          0 |          8 |         84 |
| e:\Embedded\MyLogGit\exampleSite\content\post\2-4-操作系统-Linux\index.md          | Markdown           |        515 |          0 |        192 |        707 |
| e:\Embedded\MyLogGit\exampleSite\content\post\2-5-操作系统-Linux常用命令\index.md      | Markdown           |        127 |          0 |         42 |        169 |
| e:\Embedded\MyLogGit\exampleSite\content\post\2-6-操作系统-UCOS3\index.md          | Markdown           |        491 |          0 |         91 |        582 |
| e:\Embedded\MyLogGit\exampleSite\content\post\2-7-操作系统-imx6ull\index.md        | Markdown           |      1,071 |          0 |        170 |      1,241 |
| e:\Embedded\MyLogGit\exampleSite\content\post\3-0-单片机-杂项\index.md              | Markdown           |        329 |          0 |        194 |        523 |
| e:\Embedded\MyLogGit\exampleSite\content\post\3-1-单片机-IO\index.md              | Markdown           |         42 |          0 |          3 |         45 |
| e:\Embedded\MyLogGit\exampleSite\content\post\3-2-单片机-通信协议\index.md            | Markdown           |        200 |          0 |         17 |        217 |
| e:\Embedded\MyLogGit\exampleSite\content\post\3-3-单片机-配置相关术语\index.md          | Markdown           |        261 |          0 |         47 |        308 |
| e:\Embedded\MyLogGit\exampleSite\content\post\3-4-单片机-ARM架构\index.md           | Markdown           |        428 |          0 |        221 |        649 |
| e:\Embedded\MyLogGit\exampleSite\content\post\3-5-单片机-LVGL\index.md            | Markdown           |        853 |          0 |        281 |      1,134 |
| e:\Embedded\MyLogGit\exampleSite\content\post\3-6-单片机-汇编语言\index.md            | Markdown           |         17 |          0 |          7 |         24 |
| e:\Embedded\MyLogGit\exampleSite\content\post\3-7-单片机-蓝桥杯51\index.md           | Markdown           |        386 |          0 |         84 |        470 |
| e:\Embedded\MyLogGit\exampleSite\content\post\4-1-网络协议-常见协议\index.md           | Markdown           |        254 |          0 |         46 |        300 |
| e:\Embedded\MyLogGit\exampleSite\content\post\4-2-网络协议-MQTT\index.md           | Markdown           |         95 |          0 |         59 |        154 |
| e:\Embedded\MyLogGit\exampleSite\content\post\4-3-网络协议-Zigbee\index.md         | Markdown           |        233 |          0 |        158 |        391 |
| e:\Embedded\MyLogGit\exampleSite\content\post\4-4-网络协议-TCP&UDP\index.md        | Markdown           |        108 |          0 |         28 |        136 |
| e:\Embedded\MyLogGit\exampleSite\content\post\4-5-网络协议-计算机网络\index.md          | Markdown           |        244 |          0 |         90 |        334 |
| e:\Embedded\MyLogGit\exampleSite\content\post\5-1-硬件-模拟电路\index.md             | Markdown           |         77 |          0 |         27 |        104 |
| e:\Embedded\MyLogGit\exampleSite\content\post\5-2-硬件-数字逻辑\index.md             | Markdown           |         67 |          0 |         30 |         97 |
| e:\Embedded\MyLogGit\exampleSite\content\post\5-3-硬件-处理器&架构\index.md           | Markdown           |         55 |          0 |         21 |         76 |
| e:\Embedded\MyLogGit\exampleSite\content\post\5-4-硬件-存储\index.md               | Markdown           |         86 |          0 |         16 |        102 |
| e:\Embedded\MyLogGit\exampleSite\content\post\5-5-硬件-计算机组成原理\index.md          | Markdown           |        227 |          0 |        101 |        328 |
| e:\Embedded\MyLogGit\exampleSite\content\post\6-1-数据结构-理论\index.md             | Markdown           |         57 |          0 |         14 |         71 |
| e:\Embedded\MyLogGit\exampleSite\content\post\6-2-数据结构-实践\index.md             | Markdown           |        330 |          0 |         61 |        391 |
| e:\Embedded\MyLogGit\exampleSite\content\post\6-3-数据结构-c++容器\index.md          | Markdown           |        282 |          0 |        102 |        384 |
| e:\Embedded\MyLogGit\exampleSite\content\post\6-4-数据结构-基础\index.md             | Markdown           |        178 |          0 |         78 |        256 |
| e:\Embedded\MyLogGit\exampleSite\content\post\7-1-微信小程序-echarts可视化\index.md    | Markdown           |        539 |          1 |         71 |        611 |
| e:\Embedded\MyLogGit\exampleSite\content\post\7-2-微信小程序-生成二维码\index.md         | Markdown           |         71 |          0 |         15 |         86 |
| e:\Embedded\MyLogGit\exampleSite\content\post\7-3-微信小程序-云开发\index.md           | Markdown           |         70 |          0 |          7 |         77 |
| e:\Embedded\MyLogGit\exampleSite\content\post\8-1-开发工具-Cjson\index.md          | Markdown           |        398 |          0 |         83 |        481 |
| e:\Embedded\MyLogGit\exampleSite\content\post\8-2-开发工具-Git\index.md            | Markdown           |         71 |          0 |         33 |        104 |
| e:\Embedded\MyLogGit\exampleSite\content\post\8-3-开发工具-Makefile&CMake\index.md | Markdown           |        240 |          0 |         58 |        298 |
| e:\Embedded\MyLogGit\exampleSite\content\post\8-4-开发工具-Markdown\index.md       | Markdown           |         61 |          0 |         76 |        137 |
| e:\Embedded\MyLogGit\exampleSite\content\post\8-5-开发工具-Mysql\index.md          | Markdown           |        333 |          0 |         56 |        389 |
| e:\Embedded\MyLogGit\go.mod                                                    | XML                |          2 |          0 |          2 |          4 |
| e:\Embedded\MyLogGit\i18n\ar.yaml                                              | YAML               |         51 |          0 |         20 |         71 |
| e:\Embedded\MyLogGit\i18n\bn.yaml                                              | YAML               |         54 |          0 |         20 |         74 |
| e:\Embedded\MyLogGit\i18n\ca.yaml                                              | YAML               |         54 |          0 |         20 |         74 |
| e:\Embedded\MyLogGit\i18n\de.yaml                                              | YAML               |         54 |          0 |         21 |         75 |
| e:\Embedded\MyLogGit\i18n\el.yaml                                              | YAML               |         51 |          1 |         19 |         71 |
| e:\Embedded\MyLogGit\i18n\en.yaml                                              | YAML               |         54 |          0 |         20 |         74 |
| e:\Embedded\MyLogGit\i18n\es.yaml                                              | YAML               |         54 |          0 |         20 |         74 |
| e:\Embedded\MyLogGit\i18n\fa.yaml                                              | YAML               |         54 |          0 |         20 |         74 |
| e:\Embedded\MyLogGit\i18n\fr.yaml                                              | YAML               |         51 |          0 |         19 |         70 |
| e:\Embedded\MyLogGit\i18n\hu.yaml                                              | YAML               |         54 |          0 |         20 |         74 |
| e:\Embedded\MyLogGit\i18n\id.yaml                                              | YAML               |         54 |          0 |         20 |         74 |
| e:\Embedded\MyLogGit\i18n\it.yaml                                              | YAML               |         54 |          0 |         20 |         74 |
| e:\Embedded\MyLogGit\i18n\ja.yaml                                              | YAML               |         44 |          0 |         17 |         61 |
| e:\Embedded\MyLogGit\i18n\ko.yaml                                              | YAML               |         51 |          0 |         18 |         69 |
| e:\Embedded\MyLogGit\i18n\nl.yaml                                              | YAML               |         47 |          0 |         11 |         58 |
| e:\Embedded\MyLogGit\i18n\pl.yaml                                              | YAML               |         54 |          0 |         20 |         74 |
| e:\Embedded\MyLogGit\i18n\pt-br.yaml                                           | YAML               |         51 |          0 |         14 |         65 |
| e:\Embedded\MyLogGit\i18n\ru.yaml                                              | YAML               |         54 |          0 |         10 |         64 |
| e:\Embedded\MyLogGit\i18n\th.yaml                                              | YAML               |         51 |          0 |         20 |         71 |
| e:\Embedded\MyLogGit\i18n\tr.yaml                                              | YAML               |         44 |          0 |         10 |         54 |
| e:\Embedded\MyLogGit\i18n\uk.yaml                                              | YAML               |         52 |          0 |         20 |         72 |
| e:\Embedded\MyLogGit\i18n\zh-cn.yaml                                           | YAML               |         44 |          0 |         17 |         61 |
| e:\Embedded\MyLogGit\i18n\zh-hk.yaml                                           | YAML               |         54 |          0 |         20 |         74 |
| e:\Embedded\MyLogGit\i18n\zh-tw.yaml                                           | YAML               |         36 |          0 |         14 |         50 |
| e:\Embedded\MyLogGit\layouts\404.html                                          | HTML               |          7 |          0 |          0 |          7 |
| e:\Embedded\MyLogGit\layouts\_default\_markup\render-image.html                | HTML               |         36 |          0 |          5 |         41 |
| e:\Embedded\MyLogGit\layouts\_default\_markup\render-link.html                 | HTML               |          3 |          0 |          0 |          3 |
| e:\Embedded\MyLogGit\layouts\_default\archives.html                            | HTML               |         32 |          0 |          4 |         36 |
| e:\Embedded\MyLogGit\layouts\_default\baseof.html                              | HTML               |         27 |          0 |          2 |         29 |
| e:\Embedded\MyLogGit\layouts\_default\list.html                                | HTML               |         74 |          0 |         11 |         85 |
| e:\Embedded\MyLogGit\layouts\_default\rss.xml                                  | XML                |         48 |          0 |          1 |         49 |
| e:\Embedded\MyLogGit\layouts\_default\single.html                              | HTML               |         37 |          0 |         10 |         47 |
| e:\Embedded\MyLogGit\layouts\index.html                                        | HTML               |         16 |          0 |          3 |         19 |
